MonitoringLocationIdentifier,OrganizationIdentifier.x,OrganizationFormalName.x,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,Depth,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,Result,OrganizationIdentifier.y,OrganizationFormalName.y,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:04-20-1992:92GA14S11:3169307,Sample-Routine,Water,Surface Water,1992-04-20,120.7,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,8.9,mg/l,8.9,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:04-20-1992:92GA14S01:3169310,Sample-Routine,Water,Surface Water,1992-04-20,0.91,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,8.9,mg/l,8.9,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:04-20-1992:92GA14S03:3169309,Sample-Routine,Water,Surface Water,1992-04-20,60.96,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,8.9,mg/l,8.9,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-23-1992:92GA24S03:3169604,Sample-Routine,Water,Surface Water,1992-08-23,17.37,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.7,mg/l,9.7,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-23-1992:92GA24S01:3169606,Sample-Routine,Water,Surface Water,1992-08-23,0.91,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.2,mg/l,10.2,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-23-1992:92GA24S10:3169603,Sample-Routine,Water,Surface Water,1992-08-23,112.16999999999999,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.4,mg/l,9.4,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-29-1993:93GA32S88:3170341,Sample-Routine,Water,Surface Water,1993-08-29,15.239999999999998,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.3,mg/l,10.3,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-29-1993:93GA32S93:3170337,Sample-Routine,Water,Surface Water,1993-08-29,121.31,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.2,mg/l,10.2,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-29-1993:93GA32S90:3170339,Sample-Routine,Water,Surface Water,1993-08-29,30.479999999999997,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10,mg/l,10,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-29-1993:93GA32S85:3170342,Sample-Routine,Water,Surface Water,1993-08-29,0.91,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.4,mg/l,10.4,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
